"Employeurs ayant obtenu une Étude d'impact sur le marché du travail (EIMT) positive en 2016, par classification nationale des professions (CNP) 2011 et lieu d’affaires",,,,
Province/Territoire,Employeur,Adresse,Profession sous CNP 2011,"Postes Approuvés
"
,Maritime Osteopathy Ltd,"Bridgewater, NS B4V 2L2",3125-Autres professionnels en diagnostic et en traitement de la santé,1
,Melvin Farms Ltd,"Canning, NS B0P 1H0",8431-Ouvriers agricoles,33
,Mic Mac Beverage Room (2006) Ltd.,"Dartmouth, NS B2X 2C3",6322-Cuisiniers,4
,Millen Farms Limited,"Great Village, NS B0M 1L0",8431-Ouvriers agricoles,239
,Mirchi Tandoor Inc.,"Halifax, NS B3J 1J7",6322-Cuisiniers,3
,Moncton Fresh Casual Restaurants Inc o/a Swiss Chalet,"Amherst, NS B4H 4L2",6322-Cuisiniers,2
,Mother Hubbard N'  Friends Daycare Inc.,"Lower Sackville, NS B4C 3M1",4214-Éducateurs et aides-éducateurs de la petite enfance,1
,Mount Saint Vincent University,"Halifax, NS B3M 2J6",4011-Professeurs et chargés de cours au niveau universitaire,2
,Naru Japanese Restaurant (NS) Ltd.,"Sydney, NS B1P 1G8",6321-Chefs,2
,Nazinga Farms Ltd,"Aylesford, NS B0P 1C0",8431-Ouvriers agricoles,18
,Newcap Inc,"Dartmouth, NS B3B 1G4","512-Directeurs - édition, cinéma, radiotélédiffusion et arts de la scène",1
,North Nova Seafoods Ltd.,"Pictou, NS B0K 1H0",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,75
,Northwood Homecare Inc.,"Dartmouth, NS B3B 2C4","4412-Aides familiaux résidents, aides de maintien à domicile et personnel assimilé",10
,Northwoodcare Halifax Incorporated,"Dartmouth, NS B3B 2C4",3233-Infirmiers auxiliaires,1
,Nova Scotia College Of Art And Design,"Halifax, NS B3J 3J6",4011-Professeurs et chargés de cours au niveau universitaire,1
,Nova Scotia Health Authority,"Halifax, NS B3H 3A7",3111-Médecins spécialistes,1
,,"Sidney, NS B1P 1P3",3111-Médecins spécialistes,18
,,,3112-Omnipraticiens et médecins en médecine familiale,1
,Ocean Pride Fisheries Ltd.,"Lower Wedgeport, NS B0W 2B0",9618-Manoeuvres dans la transformation du poisson et des fruits de mer,15
,Odour Solutions Atlantic Ltd,"Halifax, NS B3M 4H4",9612-Manoeuvres en métallurgie,1
,Oxford Berry Farm,"Oxford, NS B0M 1P0",8431-Ouvriers agricoles,18
,Parkland Construction Ltd.,"Bedford, NS B4A 2E5",7272-Ébénistes,2
,Perfect Berries Ltd,"Berwick, NS B0P 1E0",8431-Ouvriers agricoles,34
,Petit de Grat Packers Ltd.,"Arichat, NS B0E 1A0",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,11
,Pioneer Cleaners Incorporated,"Halifax, NS B3M 1W9",6731-Préposés à l'entretien ménager et au nettoyage - travaux légers,2
,Pisiquid Aquatic Club,"Windsor, NS B0N 2T0",5252-Entraîneurs,1
,Power Farms Inc,"Canning, NS B0P 1H0",8431-Ouvriers agricoles,12
,Premium Choice Shrimp Ltd.,"Arichat, NS B0E 1A0",9618-Manoeuvres dans la transformation du poisson et des fruits de mer,7
,Premium Seafoods Ltd.,"Arichat, NS B0E 1A0",9618-Manoeuvres dans la transformation du poisson et des fruits de mer,13
,Pure Season 1 Inc.,"Chester, NS B0J 1J0",5135-Acteurs et comédiens,1
,R & M Boatbuilding Limited,"Shelburne, NS B0T 1W0",9531-Monteurs de bateaux et contrôleurs de montage de bateaux,1
,Randsland Farms Inc,"Canning, NS B0P 1H0",8431-Ouvriers agricoles,46
,Ranex Cuisine Limited,"Dartmouth, NS B2X 0A2",6322-Cuisiniers,1
,River Breeze Farm Limited,"Upper Onslow, NS B6L 6Y3",8431-Ouvriers agricoles,6
,Riverside Lobster International Inc.,"Meteghan River, NS B0W 2L0",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,36
,RJ Farm,"Berwick, NS B0P 1E0",8431-Ouvriers agricoles,2
,Rodd Development Limited,"Halifax, NS B3K 2A1",6311-Superviseurs des services alimentaires,1
,Rosos Properties Services Incorporated,"Dartmouth, NS B2V 1J5",6731-Préposés à l'entretien ménager et au nettoyage - travaux légers,6
,Royal Environmental Inc.,"Lower Sackville, NS B4C 4B1",7511-Conducteurs de camions de transport,1
,Royal Nova Scotia Yacht Squadron,"Halifax, NS B3P 1C7",5252-Entraîneurs,3
,Saint Mary's University,"Halifax, NS B3H 3C3",4011-Professeurs et chargés de cours au niveau universitaire,1
,Sanhaven Farms,"Antigonish, NS B2G 2K9","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",1
,Sarsfield Farms Inc,"Canning, NS B0P 1H0",8431-Ouvriers agricoles,37
,Seawalker Productions Inc.,"Chester, NS B0J 1J0","5121-Auteurs, rédacteurs et écrivains",1
,,,5135-Acteurs et comédiens,2
,"SHIL Technologies, Inc.","Halifax, NS B3J 3N2",2174-Programmeurs et développeurs en médias interactifs,1
,Shree Ganesh Ltd. (Curry Express),"Bridgewater, NS B4V 1M3",6322-Cuisiniers,2
,Sidon Holdings Ltd,"Halifax, NS B3J 2V9",6322-Cuisiniers,1
,Small Town Productions Inc.,"Halifax, NS B3J 1K9","5226-Autre personnel technique et personnel de coordination du cinéma, de la radiotélédiffusion et des arts de la scène",1
,Sobeys West Inc.,"Stellarton, NS B0K 1S0","15-Cadres supérieurs - commerce, radiotélédiffusion et autres services, n.c.a.",1
,Song's Korean Restaurant,"Halifax, NS B3L 1A4",6322-Cuisiniers,1
,Spiteful Threesome Pictures Inc,"Halifax, NS B3K 4K1",5135-Acteurs et comédiens,2
,Spurr Brothers Farms Ltd,"Kingston, NS B0P 1R0",8431-Ouvriers agricoles,16
,St. Anne Community and Nursing Care Centre,"Arichat, NS B0E 1A0",3012-Infirmiers autorisés et infirmiers psychiatriques autorisés,1
,St. Francis Xavier University,"Antigonish, NS B2G 2W5",4011-Professeurs et chargés de cours au niveau universitaire,1
,Stelia Aéronautique Amérique du Nord Inc,"Lunenburg, NS B0J 2C0",2146-Ingénieurs en aérospatiale,1
,Stokdijk Greenhouses Ltd,"Beaver Brook, NS B6L 1H3",8432-Ouvriers de pépinières et de serres,24
,Synergy CHC Inc.,"Fall River, NS B2T 1J5","1123-Professionnels en publicité, en marketing et en relations publiques",1
,Tako Sushi & Ramen Restaurant Limited,"Bedford, NS B4A 0B8",6322-Cuisiniers,1
,Talay Thai Dartmouth Restaurant Inc,"Dartmouth, NS B2V 1E7",6322-Cuisiniers,3
,Tawa Grill,"Halifax, NS B3J 1R9",6322-Cuisiniers,1
,Tempo Renovations Limited,"Halifax, NS B3N 3E5",711-Directeurs de la construction,1
,The Tom Kotter Company Ltd.,"Halifax, NS B3J 1V7","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
,Tolentino-Tough Property Services,"West Pennant, NS B3V 1M2",6731-Préposés à l'entretien ménager et au nettoyage - travaux légers,2
,Town Plot Orchards,"Port Williams, NS B0P 1T0",8431-Ouvriers agricoles,7
,Track Group Analytics Ltd.,"Bedford, NS B4A 3Y4","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
,Traditional Evergreen Tree Farm Ltd,"Bridgewater, NS B4V 2W6",8432-Ouvriers de pépinières et de serres,5
,Tulip Farm,"Pugwash, NS B0K 1L0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",1
,VanMeekeren Farms Ltd,"Kentville, NS B4N 3V7",8431-Ouvriers agricoles,8
,Vermeuland Farms Limited,"Milford, NS B0N 1Y0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",2
,Vermeulen Farms Limited,"Canning, NS B0P 1H0",8431-Ouvriers agricoles,25
,,,8611-Manoeuvres à la récolte,25
,Webster Farms Ltd,"Cambridge, NS B0P 1G0",8431-Ouvriers agricoles,36
,WesTower Communications Ltd.,"Wellington, NS B2T 1K6",7245-Monteurs de lignes et de câbles de télécommunications,1
,Windsor Street Childcare Centre Inc.,"Halifax, NS B3K 5E4",4214-Éducateurs et aides-éducateurs de la petite enfance,1
,Wohlgemuth Farms Ltd,"Aylesford, NS B0P 1C0",7511-Conducteurs de camions de transport,5
,,,8432-Ouvriers de pépinières et de serres,9
,Yu Yo The Artists' Place Inc.,"Dartmouth, NS B2W 4E1",621-Directeurs - commerce de détail et de gros,1
,ZM Supreme Cleaning Services Limited,"Dartmouth, NS B3A 2B2",6315-Surveillants des services de nettoyage,3
Nouveau-Brunswick,053636 NB Ltd.,"Dieppe, NB E1A 1Y6",7511-Conducteurs de camions de transport,5
,100-220 PEI Inc.,"Fredericton, NB E3B 1W8",6311-Superviseurs des services alimentaires,2
,2439624 Nova Scotia LTD,"Alma, NB E4H 1N9",6311-Superviseurs des services alimentaires,1
,611286 NB Inc.,"Saint John, NB E2L 4W3",6322-Cuisiniers,2
,615317 NB Inc,"Berwick, NB E5P 3H5",8432-Ouvriers de pépinières et de serres,18
,616452 NB Ltd.,"Moncton, NB E1C 2T9",6322-Cuisiniers,1
,620694 NB Ltd.,"Fredericton, NB E3C 0B8",6322-Cuisiniers,2
,"622735 NB, Inc.","Lake George, NB E6K 3P9",6322-Cuisiniers,1
,638571 N.B. Ltd.,"Saint John, NB E2J 2S5",6322-Cuisiniers,1
,641009 N.B. Inc.,"Lepreau, NB E5J 0B4",6332-Boulangers-pâtissiers,1
,648954 NB Inc,"Kouchibouguac, NB E4X 1L7",8431-Ouvriers agricoles,20
,658579 NB Ltd,"Fredericton, NB E3C 1A2",6322-Cuisiniers,1
,658711 NB Ltd.,"Miramichi, NB E1V 1X4",6321-Chefs,1
,659309 NB Inc,"Moncton, NB E1C 1E4",6322-Cuisiniers,1
,662100 NB Ltd,"Grande Anse, NB E8N 1A1",8431-Ouvriers agricoles,2
,665606 NB Inc,"Moncton, NB E1A 5L1",6322-Cuisiniers,1
,669950 NB Ltd. o/a NARU Japanese Restaurant Ltd.,"Fredericton, NB E3B 1B9",6322-Cuisiniers,2
,669955 N.B. Inc.,"Oromocto, NB E2V 1S2",6322-Cuisiniers,1
,672018 N.B. Inc.,"Saint John, NB E2L 1B2",1221-Agents d'administration,1
,7726848 Canada Ltd.,"Moncton, NB E1C 2T9",6322-Cuisiniers,6
,Atlantic Cancer Research Institute,"Moncton, NB E1C 8X3",2121-Biologistes et personnel scientifique assimilé,1
,Atlantic Towing Limited,"Saint John, NB E4E 4P6","16-Cadres supérieurs - construction, transport, production et services d'utilité publique",1
,B & B Environmental Services Ltd,"Newtown, NB E4G 1M2",7511-Conducteurs de camions de transport,2
,BEUMER Group Canada Corporation,"Moncton, NB E1C 5H7",2281-Techniciens de réseau informatique,1
,,,7301-Entrepreneurs et contremaîtres en mécanique,1
,BLR Foods Ltd,"Saint John, NB E2J 1X2",6322-Cuisiniers,2
,Bolero Shellfish Processing Inc.,"Saint-Simon, NB E8P 2B2",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,17
,"Botsford Fisheries Ltd., Les Pêcheries Botsford ltée","Cap-Pele, NB E4N 3B3",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,9
,Bouctouche Bay Inn Inc.,"Bouctouche, NB E4S 2T5",6322-Cuisiniers,4
,Brun Fisheries Ltd.,"Petit-Cap, NB E4N 2G8",9618-Manoeuvres dans la transformation du poisson et des fruits de mer,4
,CANLink Aviation Inc.,"Rothesay, NB E2E 5J7","2271-Pilotes, navigateurs et instructeurs de pilotage du transport aérien",1
,Cape Bald Packers Ltd,"Cap Pele, NB E4N 1E3",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,226
,Captain Dan's Inc.,"Richibouctou-Village, NB E4W 1C9",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,55
,Cedar Rock Farm,"Nauwigewauk, NB E5N 6W4",8431-Ouvriers agricoles,1
,County Line Trucking Ltd,"Wilmot, NB E7P 2V4",7511-Conducteurs de camions de transport,4
,Crowevel Farms Ltd.,"Newtown, NB E4G 1M2",8431-Ouvriers agricoles,1
,Culberson Trucking Ltd.,"Jacksonville, NB E7M 3J8",7511-Conducteurs de camions de transport,5
,Day & Ross Inc,"Hartland, NB E7P 1C6","16-Cadres supérieurs - construction, transport, production et services d'utilité publique",1
,Domino's Pizza,"Moncton, NB E1C 2R8",6311-Superviseurs des services alimentaires,2
,Donnelly Farms Ltd,"Lansdowne, NB E7L 4K4",7511-Conducteurs de camions de transport,2
,Dowon Brothers Inc.,"Moncton, NB E1C 5C3",6322-Cuisiniers,3
,D-U-C Trucking Inc.,"Woodstock, NB E7M 1Y7",7511-Conducteurs de camions de transport,1
,Edmond Gagnon Ltd,"Grand-Barachois, NB E4P 8A4",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,65
,Element5 Spa Inc.,"Saint John, NB E2L 4Z6",6341-Coiffeurs et barbiers,1
,Elephant Transport Inc.,"Dieppe, NB E1A 0Z6",7511-Conducteurs de camions de transport,1
,Elsipogtog Mental Health Services,"Elsipogtog, NB E4W 2S1","4153-Thérapeutes conjugaux, thérapeutes familiaux et autres conseillers assimilés",1
,Elzayat Corp.,"Fredericton, NB E3B 1E4",6322-Cuisiniers,3
,Fenety Convenience Store Ltd.,"Waasis, NB E3B 9E1",6322-Cuisiniers,2
,Full House Enterprise Ltd,"Fredericton, NB E3B 5Y4",6322-Cuisiniers,1
,Gamma II Investments Ltd.,"Saint John, NB E2J 2C2",6322-Cuisiniers,2
,Golden Point Ltd o/a Subway,"Saint John, NB E2K 3A1",6311-Superviseurs des services alimentaires,1
,Horizon Health Network,"Moncton, NB E1C 6Z8",3111-Médecins spécialistes,3
,,"Saint John, NB E2L 4L2",3112-Omnipraticiens et médecins en médecine familiale,3
,Howell Ventures Ltd.,"Upper Kingsclear, NB E3E 1P8",2174-Programmeurs et développeurs en médias interactifs,1
,HUNTSMAN MARINE SCIENCE CENTRE,"St.Andrews, NB E5B 2L7",2121-Biologistes et personnel scientifique assimilé,1
,Hutt Chiropractic Professional Corp,"Miramichi, NB E1V 5L5",3122-Chiropraticiens,1
,IGT Canada Solutions ULC,"Moncton, NB E1H 2R6",1211-Superviseurs de commis de bureau et du personnel de soutien administratif,1
,,,2174-Programmeurs et développeurs en médias interactifs,1
,Irving Oil Company Limited,"Saint John, NB E2L 4K1",2152-Architectes paysagistes,1
,Irving Tissue Corp. (Moncton),"Dieppe, NB E1A 6X4","16-Cadres supérieurs - construction, transport, production et services d'utilité publique",1
,,"Moncton, NB E1H 3N5","16-Cadres supérieurs - construction, transport, production et services d'utilité publique",1
,J.D. Irving,"Saint John, NB E2L 4M3",2174-Programmeurs et développeurs en médias interactifs,1
,Jeramand Enterprises Ltd.,"Irishtown, NB E1H 2L3",7511-Conducteurs de camions de transport,4
,Jolly Farmer Products Inc,"Northampton, NB E7N 1R6",8432-Ouvriers de pépinières et de serres,24
,"Jolly Farmer Transport ,Inc.","Northhampton, NB E7N 1R6",7511-Conducteurs de camions de transport,2
,JP Lavoie & Sons Ltd,"Salisbury, NB E4J 3E2",6322-Cuisiniers,1
,JPS Trucking Ltd.,"Bloomfield, NB E7K 1C8",7511-Conducteurs de camions de transport,4
,Jun Realty Ltd.,"Dieppe, NB E1A 1P4",6322-Cuisiniers,1
,KIL Investments Ltd.,"Fredericton, NB E3B 2H8",6311-Superviseurs des services alimentaires,1
,,,6322-Cuisiniers,2
,Kim Thoa Restaurant Inc,"Woodstock, NB E7M 1L3",6321-Chefs,1
,La Residence Castel Des Flots Bleus Ltee,"Cap-Pete, NB E4N 0B5",6731-Préposés à l'entretien ménager et au nettoyage - travaux légers,3
,L'Association Coopérative des Pêcheurs de l'Île Ltée,"Lamèque, NB E8T 1M8",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,11
,Les Pêcheries de Chez Nous,"Tracadie-Sheila, NB E1X 1G4",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,26
,Les Petits Fruits de Pré-d'en-Haut Inc,"Memramcook, NB E4K 1K8",8431-Ouvriers agricoles,25
,Leslie Leger and Sons Ltd.,"Trois-Ruisseaux, NB E4N 3B3",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,15
,Maritime Auto Body 2014 Ltd.,"Saint John, NB E2M 3S4",7322-Débosseleurs et réparateurs de carrosserie,1
,Maritime Truck & Tractor Pull Association,"Richmond Corner, NB E7M 4W9","6722-Opérateurs et préposés aux sports, aux loisirs et dans les parcs d'attractions",1
,McConchie Trucking Ltd.,"Norton, NB E5T 1E8",7511-Conducteurs de camions de transport,6
,McConnell Transport Ltd.,"Woodstock, NB E7M 6B5",7511-Conducteurs de camions de transport,22
,McLaughlin Dental Group Inc,"Bedell, NB E7M 4P1",3113-Dentistes,1
,McSubway Inc,"Saint John, NB E2L 1G3",6311-Superviseurs des services alimentaires,1
,Meadow Valley Manor Inc.,"Saint John, NB E2J 4E2","3413-Aides-infirmiers, aides-soignants et préposés aux bénéficiaires",2
,Mountain Road Pizzeria Inc.,"Miramichi, NB E1V 5Z5",6322-Cuisiniers,1
,Mountain View Packers Ltd,"Florenceville - Bristol, NB E7L 1Y9",8431-Ouvriers agricoles,6
,Murray Enterprises Ltd,"Sussex Corner, NB E4E 2Y5",7511-Conducteurs de camions de transport,8
,Ocean Pier Inc.,"Scoudouc, NB E4P 3R4",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,17
,Orchard Shade Farms Ltd,"Northampton, NB E7N 1E2",8431-Ouvriers agricoles,8
,Pioneer Transport Inc.,"Woodstock, NB E7M 6B5",7511-Conducteurs de camions de transport,22
,Playteck Enterprises Inc,"Dieppe, NB E1A 6V3",2225-Techniciens et spécialistes de l'aménagement paysager et de l'horticulture,2
,Quality Transportation Services (NB) Ltd,"Jacksonville, NB E7M 3S1",7511-Conducteurs de camions de transport,9
,R & L Convenience Inc.,"Rothesay, NB E2E 5X4",6322-Cuisiniers,3
,R. E. M. Transport Ltd.,"St. Stephen, NB E3L 3A6",7511-Conducteurs de camions de transport,2
,Regional Health Authority B,"Miramichi, NB E1V 3G5",3112-Omnipraticiens et médecins en médecine familiale,1
,Reid and Associates Accounting Ltd.,"Hampton, NB E5N 8H2",1311-Techniciens en comptabilité et teneurs de livres,1
,Rossignol Transport LTD,"Edmundston, NB E3V 3K8",7511-Conducteurs de camions de transport,2
,Saigon Thai Ltd.,"Moncton, NB E1C 4L6",6322-Cuisiniers,1
,Shadowave Holsteins Inc. / Green Pig Country Market,"Second North River, NB E4J 2V9",8431-Ouvriers agricoles,3
,Shediac Lobster Shop Ltd,"Shediac, NB E4P 2A6",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,65
,Slocum's Farm Fresh Produce Ltd,"Waterborough, NB E4C 2Y3",8431-Ouvriers agricoles,4
,Sowcow Farms Inc,"Penobsquis, NB E4G 2Z4","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",1
,Spoon Express Restaurant,"Moncton, NB E1G 2H9",6322-Cuisiniers,3
,Squash Moncton Ltd.,"Dieppe, NB E1A 8R1",5252-Entraîneurs,1
,Stewart's Transfer o/a 500516 NB Ltd.,"Perth-Andover, NB E7H 5G3",7511-Conducteurs de camions de transport,1
,Strawberry Hill Farm,"Pembroke, NB E7N 1S7",8431-Ouvriers agricoles,3
,Sugar Roll Japanese Cuisine,"Dieppe, NB E1A 1P2",6321-Chefs,1
,,,6322-Cuisiniers,2
,Suncoast Seafood Inc.,"Grand-Digue, NB E4R 4H7",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,39
,Tran's Palace Restaurant,"Miramichi, NB E1V 1Y5",6322-Cuisiniers,1
,Tran's Place Ltd,"Moncton, NB E1A 2X1",6322-Cuisiniers,1
,Transport Solutions Ltd.,"Moncton, NB E1C 1G5",7511-Conducteurs de camions de transport,17
,Triple M. Trucking Ltd.,"Central Waterville, NB E6G 2K5",7511-Conducteurs de camions de transport,1
,Verger Belliveau Orchard Ltd,"Memramcook, NB E4K 2S6",8431-Ouvriers agricoles,18
,,,8611-Manoeuvres à la récolte,5
,Victoria  Trucking  Ltd.,"Perth-Andover, NB E7H 5K3",7511-Conducteurs de camions de transport,4
,W.J.Allen & Sons Inc. o/a Aulac Big Stop Restaurant,"Aulac, NB E4L 2X2",6322-Cuisiniers,2
,Westmorland Fisheries Ltd.,"Cap-Pelé, NB E4N 1V3",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,224
,Woodstock Cold Storage (1990) Ltd.,"Bayside, NB E5B 2Y2",714-Directeurs de l'exploitation et de l'entretien d'immeubles,1
