"Number of temporary foreign worker (TFW) positions on positive Labour Market Impact Assessments (LMIAs) by National Occupational Classification - 2011 (NOC), and province/territory",,,,,,,,
Canada,,,,,,,,
NOC Code and Occupational Group,,,,,,,,
,2016,2017,2018,2019,2020,2021,2022,2023
"8252 - Agricultural service contractors, farm supervisors and specialized livestock workers",839,"1,029","1,187","1,348","1,465","1,474","2,178","2,547"
"8255 - Contractors and supervisors, landscaping, grounds maintenance and horticulture services",62,71,119,137,128,119,178,235
8261 - Fishing masters and officers,1,1,0,1,0,0,0,2
8262 - Fishermen/women,0,0,0,0,0,0,0,0
8411 - Underground mine service and support workers,9,0,0,0,1,0,0,0
8412 - Oil and gas well drilling and related workers and services operators,6,4,0,0,8,12,18,22
8421 - Chain saw and skidder operators,0,0,0,0,0,4,1,3
8422 - Silviculture and forestry workers,0,0,4,64,40,85,110,108
8431 - General farm workers,"36,405","40,831","48,877","49,593","49,116","61,515","71,228","81,532"
8432 - Nursery and greenhouse workers,"15,407","16,360","17,930","19,314","19,371","11,577","12,686","15,365"
8441 - Fishing vessel deckhands,11,12,5,7,8,1,10,10
8442 - Trappers and hunters,0,0,0,0,0,0,0,0
8611 - Harvesting labourers,"1,493","2,225","1,547","1,939","2,315","2,753","2,994","1,581"
8612 - Landscaping and grounds maintenance labourers,277,189,329,682,877,515,"2,471","1,990"
8613 - Aquaculture and marine harvest labourers,0,0,0,9,7,9,55,39
8614 - Mine labourers,0,0,0,0,0,0,0,2
"8615 - Oil and gas drilling, servicing and related labourers",2,8,0,1,2,0,53,51
8616 - Logging and forestry labourers,1,0,0,3,17,16,53,29
"9211 - Supervisors, mineral and metal processing",5,5,10,3,8,6,14,6
"9212 - Supervisors, petroleum, gas and chemical processing and utilities",4,1,1,5,2,2,24,16
"9213 - Supervisors, food, beverage and associated products processing",25,41,25,28,45,60,117,167
"9214 - Supervisors, plastic and rubber products manufacturing",7,5,6,12,23,13,43,51
"9215 - Supervisors, forest products processing",0,1,0,3,4,4,8,13
"9217 - Supervisors, textile, fabric, fur and leather products processing and manufacturing",5,6,10,18,19,18,44,27
"9221 - Supervisors, motor vehicle assembling",0,0,0,1,1,2,0,2
"9222 - Supervisors, electronics manufacturing",2,0,0,0,1,1,4,5
"9223 - Supervisors, electrical products manufacturing",1,1,0,0,1,1,5,3
"9224 - Supervisors, furniture and fixtures manufacturing",7,21,15,16,5,8,21,25
"9226 - Supervisors, other mechanical and metal products manufacturing",7,8,2,8,8,5,17,5
"9227 - Supervisors, other products manufacturing and assembly",9,13,17,17,9,12,15,21
"9231 - Central control and process operators, mineral and metal processing",1,2,0,0,0,0,10,4
"9232 - Petroleum, gas and chemical process operators",11,10,0,0,2,1,2,3
"9235 - Pulping, papermaking and coating control operators",0,0,0,0,0,0,20,13
9241 - Power engineers and power systems operators,2,1,5,1,2,1,1,2
9243 - Water and waste treatment plant operators,2,0,0,2,0,19,5,17
"9411 - Machine operators, mineral and metal processing",0,0,0,0,4,0,10,3
9412 - Foundry workers,0,0,33,20,74,39,148,112
9413 - Glass forming and finishing machine operators and glass cutters,0,3,1,20,9,5,10,28
"9414 - Concrete, clay and stone forming operators",13,11,5,24,57,39,170,141
"9415 - Inspectors and testers, mineral and metal processing",0,0,0,2,1,10,10,32
9416 - Metalworking and forging machine operators,5,18,27,90,124,54,265,220
9417 - Machining tool operators,3,14,4,25,22,16,93,177
9418 - Other metal products machine operators,6,1,2,1,3,0,26,49
9421 - Chemical plant machine operators,8,8,15,15,21,8,19,20
9422 - Plastics processing machine operators,4,3,11,85,126,124,354,329
9423 - Rubber processing machine operators and related workers,0,0,0,6,16,20,126,99
9431 - Sawmill machine operators,12,2,4,8,9,26,123,48
9432 - Pulp mill machine operators,0,0,0,0,19,0,0,0
9433 - Papermaking and finishing machine operators,0,0,0,0,0,0,2,5
9434 - Other wood processing machine operators,0,0,0,0,1,2,10,6
9435 - Paper converting machine operators,0,0,0,5,2,5,32,58
9436 - Lumber graders and other wood processing inspectors and graders,0,0,0,0,6,3,8,1
9437 - Woodworking machine operators,15,20,6,15,27,59,324,183
"9441 - Textile fibre and yarn, hide and pelt processing machine operators and workers",0,2,0,5,15,13,67,88
"9442 - Weavers, knitters and other fabric making occupations",0,2,2,11,34,0,65,23
"9445 - Fabric, fur and leather cutters",0,0,0,0,1,1,4,12
9446 - Industrial sewing machine operators,5,6,7,16,50,41,122,143
"9447 - Inspectors and graders, textile, fabric, fur and leather products manufacturing",0,0,0,0,0,0,2,18
"9461 - Process control and machine operators, food, beverage and associated products processing",5,47,70,164,147,159,709,670
"9462 - Industrial butchers and meat cutters, poultry preparers and related workers",143,330,289,420,596,470,"1,955","1,039"
9463 - Fish and seafood plant workers,"1,309","2,052","1,556","1,862","3,544","3,743","7,374","4,529"
"9465 - Testers and graders, food, beverage and associated products processing",0,0,6,1,1,4,15,88
9471 - Plateless printing equipment operators,0,0,0,1,0,1,8,9
"9472 - Camera, platemaking and other prepress occupations",0,0,0,0,0,0,0,1
9473 - Binding and finishing machine operators,1,0,0,5,1,0,5,12
9474 - Photographic and film processors,0,0,0,0,0,0,0,0
9521 - Aircraft assemblers and aircraft assembly inspectors,0,12,0,0,1,0,0,75
"9522 - Motor vehicle assemblers, inspectors and testers",0,10,1,16,29,2,42,28
"9523 - Electronics assemblers, fabricators, inspectors and testers",0,0,0,3,4,2,45,90
"9524 - Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing",0,0,1,1,0,29,14,30
"9525 - Assemblers, fabricators and inspectors, industrial electrical motors and transformers",0,0,0,1,5,1,11,7
9526 - Mechanical assemblers and inspectors,3,4,5,16,5,7,98,111
"9527 - Machine operators and inspectors, electrical apparatus manufacturing",1,1,0,1,0,6,6,1
9531 - Boat assemblers and inspectors,2,3,4,3,0,33,29,14
9532 - Furniture and fixture assemblers and inspectors,0,0,4,20,18,16,251,273
9533 - Other wood products assemblers and inspectors,0,5,52,121,152,243,581,496
9534 - Furniture finishers and refinishers,0,6,6,12,10,4,39,20
"9535 - Plastic products assemblers, finishers and inspectors",4,4,7,57,110,57,449,193
"9536 - Industrial painters, coaters and metal finishing process operators",29,7,12,35,18,18,216,174
"9537 - Other products assemblers, finishers and inspectors",2,20,12,115,30,75,182,87
9611 - Labourers in mineral and metal processing,9,9,10,34,1,18,10,32
9612 - Labourers in metal fabrication,37,7,13,61,45,76,407,215
9613 - Labourers in chemical products processing and utilities,48,3,25,1,1,2,6,6
"9614 - Labourers in wood, pulp and paper processing",0,5,32,91,129,140,712,415
9615 - Labourers in rubber and plastic products manufacturing,7,6,14,21,62,70,418,98
9616 - Labourers in textile processing,0,0,0,0,0,4,32,27
"9617 - Labourers in food, beverage and associated products processing",300,602,"1,312","1,769","2,508","2,250","5,268","3,687"
9618 - Labourers in fish and seafood processing,70,127,146,324,401,602,"1,931","1,821"
"9619 - Other labourers in processing, manufacturing and utilities",25,12,56,179,226,255,964,687
Canada - Total,"90,314","98,146","108,988","130,457","125,279","133,196","222,847","239,646"
Newfoundland and Labrador,,,,,,,,
NOC Code and Occupational Group,,,,,,,,
,2016,2017,2018,2019,2020,2021,2022,2023
"0013 - Senior managers - financial, communications and other business services",0,0,0,1,0,0,0,2
"0015 - Senior managers - trade, broadcasting and other services, n.e.c.",0,0,0,0,0,0,0,1
"0016 - Senior managers - construction, transportation, production and utilities",3,3,5,2,0,2,2,0
0112 - Human resources managers,2,2,1,0,1,0,0,0
"0124 - Advertising, marketing and public relations managers",0,1,0,0,0,0,0,1
0125 - Other business services managers,1,0,0,0,0,0,0,0
0211 - Engineering managers,13,12,3,2,0,2,0,0
0212 - Architecture and science managers,1,1,0,0,0,0,0,1
0213 - Computer and information systems managers,0,0,0,0,0,0,0,2
0601 - Corporate sales managers,0,0,0,0,0,0,0,1
0621 - Retail and wholesale trade managers,0,1,0,0,0,0,0,0
0631 - Restaurant and food service managers,4,0,0,1,0,0,0,1
0632 - Accommodation service managers,0,0,0,0,0,5,2,4
0711 - Construction managers,25,9,2,1,14,7,2,0
0714 - Facility operation and maintenance managers,4,0,1,0,0,1,0,0
0731 - Managers in transportation,12,0,0,1,2,2,3,0
0811 - Managers in natural resources production and fishing,7,4,2,1,0,0,0,0
0823 - Managers in aquaculture,0,0,0,0,0,3,2,1
0911 - Manufacturing managers,3,1,0,0,0,1,0,0
1122 - Professional occupations in business management consulting,0,1,4,1,0,0,0,0
"1215 - Supervisors, supply chain, tracking and scheduling co-ordination occupations",0,0,1,0,0,4,2,2
1221 - Administrative officers,8,3,0,0,0,0,3,2
1224 - Property administrators,0,0,0,0,0,0,0,1
1225 - Purchasing agents and officers,0,0,0,3,0,0,0,1
1241 - Administrative assistants,0,0,0,0,0,0,0,2
1311 - Accounting technicians and bookkeepers,0,0,0,0,0,0,0,2
1411 - General office support workers,0,0,0,0,2,2,0,0
1414 - Receptionists,0,0,0,0,0,0,0,2
1422 - Data entry clerks,3,0,0,0,0,0,0,0
1522 - Storekeepers and partspersons,3,2,0,2,10,10,6,4
1523 - Production logistics co-ordinators,2,0,0,0,0,0,0,0
1525 - Dispatchers,0,0,0,0,2,2,0,2
2113 - Geoscientists and oceanographers,7,3,0,0,0,1,7,0
2121 - Biologists and related scientists,0,3,0,0,0,0,0,0
2131 - Civil engineers,29,2,0,0,4,4,0,7
2132 - Mechanical engineers,9,18,2,0,0,4,3,0
2133 - Electrical and electronics engineers,10,5,2,0,0,0,1,2
2134 - Chemical engineers,0,2,0,0,1,0,0,1
2141 - Industrial and manufacturing engineers,0,0,0,0,0,0,0,1
2144 - Geological engineers,2,1,0,0,0,0,0,0
2145 - Petroleum engineers,8,6,0,1,0,10,14,12
2147 - Computer engineers (except software engineers and designers),3,1,0,0,0,0,0,0
"2148 - Other professional engineers, n.e.c.",9,3,1,2,1,2,1,7
2154 - Land surveyors,33,26,0,14,0,0,0,0
2171 - Information systems analysts and consultants,0,0,2,1,0,0,0,1
2173 - Software engineers and designers,0,0,0,0,3,2,2,1
2174 - Computer programmers and interactive media developers,0,0,0,21,1,7,1,1
2175 - Web designers and developers,0,0,0,0,0,0,0,1
2211 - Chemical technologists and technicians,4,4,0,0,0,2,0,0
2212 - Geological and mineral technologists and technicians,9,2,4,8,9,0,0,0
2221 - Biological technologists and technicians,0,6,0,0,0,0,0,0
2231 - Civil engineering technologists and technicians,7,2,2,3,0,3,3,3
2232 - Mechanical engineering technologists and technicians,125,69,32,25,20,7,44,23
2233 - Industrial engineering and manufacturing technologists and technicians,3,8,0,1,2,0,0,0
2241 - Electrical and electronics engineering technologists and technicians,40,41,3,11,12,8,19,9
2242 - Electronic service technicians (household and business equipment),0,0,0,0,0,0,0,1
2243 - Industrial instrument technicians and mechanics,3,3,0,1,2,0,0,2
"2244 - Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",2,0,0,0,0,0,0,0
2253 - Drafting technologists and technicians,0,0,0,1,0,2,0,0
2254 - Land survey technologists and technicians,6,0,4,0,0,0,0,0
2255 - Technical occupations in geomatics and meteorology,85,16,1,0,17,0,0,0
2261 - Non-destructive testers and inspection technicians,36,6,10,4,0,0,0,9
2262 - Engineering inspectors and regulatory officers,1,0,6,1,0,0,1,1
2263 - Inspectors in public and environmental health and occupational health and safety,16,8,6,1,9,13,11,7
2264 - Construction inspectors,2,0,0,0,0,0,0,0
"2273 - Deck officers, water transport",128,136,29,58,53,49,55,26
"2274 - Engineer officers, water transport",130,98,13,43,51,52,44,19
2281 - Computer network technicians,0,0,0,0,0,0,0,2
3012 - Registered nurses and registered psychiatric nurses,0,0,0,0,2,2,0,0
3111 - Specialist physicians,15,7,8,13,22,14,12,16
3112 - General practitioners and family physicians,6,1,0,0,2,0,1,1
3113 - Dentists,0,1,0,0,2,0,1,0
3114 - Veterinarians,0,0,0,0,1,0,0,0
3125 - Other professional occupations in health diagnosing and treating,0,0,0,0,0,0,1,1
3141 - Audiologists and speech-language pathologists,1,0,0,0,1,1,0,0
"3223 - Dental technologists, technicians and laboratory assistants",0,0,0,0,0,1,0,0
3234 - Paramedical occupations,5,0,0,0,1,0,0,0
3236 - Massage therapists,1,0,0,0,0,0,0,0
3411 - Dental assistants,0,0,0,0,0,0,0,1
"3413 - Nurse aides, orderlies and patient service associates",0,1,0,0,0,0,0,4
4011 - University professors and lecturers,3,0,0,0,1,0,1,2
4021 - College and other vocational instructors,3,1,0,0,0,0,0,0
4162 - Economists and economic policy researchers and analysts,0,0,1,0,0,0,0,0
"4167 - Recreation, sports and fitness policy researchers, consultants and program officers",0,1,0,0,0,0,0,0
4212 - Social and community service workers,0,1,0,0,0,0,0,0
4214 - Early childhood educators and assistants,2,5,1,1,2,0,0,2
4411 - Home child care providers,17,4,6,4,1,1,2,0
"4412 - Home support workers, housekeepers and related occupations",0,1,3,2,0,0,3,2
"5131 - Producers, directors, choreographers and related occupations",2,1,1,0,1,1,0,0
5134 - Dancers,1,1,0,2,1,0,0,0
5135 - Actors and comedians,6,0,0,0,0,0,0,0
5221 - Photographers,0,7,0,1,0,0,0,0
5222 - Film and video camera operators,1,0,0,0,0,0,0,0
"5227 - Support occupations in motion pictures, broadcasting, photography and the performing arts",0,0,0,1,0,0,0,0
"5232 - Other performers, n.e.c.",0,0,0,2,0,0,0,0
5252 - Coaches,0,0,0,0,0,0,0,1
"5254 - Program leaders and instructors in recreation, sport and fitness",1,0,0,0,0,0,0,0
6211 - Retail sales supervisors,1,0,12,4,1,1,2,6
6221 - Technical sales specialists - wholesale trade,0,0,0,2,0,0,0,0
6231 - Insurance agents and brokers,0,0,0,0,0,0,1,0
6311 - Food service supervisors,13,5,4,2,2,6,20,11
6312 - Executive housekeepers,4,0,0,0,0,0,2,1
"6313 - Accommodation, travel, tourism and related services supervisors",1,0,0,0,0,1,0,0
6314 - Customer and information services supervisors,0,0,1,0,0,0,0,0
6315 - Cleaning supervisors,2,0,0,0,1,0,0,0
6316 - Other services supervisors,1,0,0,0,0,3,0,0
6321 - Chefs,2,2,0,0,2,0,0,4
6322 - Cooks,73,36,20,34,23,39,67,40
6332 - Bakers,1,3,0,0,2,4,2,2
6341 - Hairstylists and barbers,1,0,0,0,0,2,0,6
"6344 - Jewellers, jewellery and watch repairers and related occupations",0,0,0,1,0,0,0,0
6421 - Retail salespersons,1,0,3,1,0,0,0,1
6512 - Bartenders,0,0,0,0,0,0,0,2
6513 - Food and beverage servers,46,14,1,3,5,24,10,22
6522 - Pursers and flight attendants,5,12,1,1,1,0,2,0
6525 - Hotel front desk clerks,0,0,0,0,0,0,0,1
6532 - Outdoor sport and recreational guides,1,5,0,0,0,0,0,0
"6562 - Estheticians, electrologists and related occupations",0,3,5,1,1,0,0,4
6611 - Cashiers,0,0,0,0,0,0,2,2
"6622 - Store shelf stockers, clerks and order fillers",0,0,0,0,0,0,1,15
"6711 - Food counter attendants, kitchen helpers and related support occupations",4,2,0,0,0,0,27,74
"6721 - Support occupations in accommodation, travel and facilities set-up services",0,0,1,0,0,0,0,0
6731 - Light duty cleaners,14,1,1,1,0,2,0,1
"6741 - Dry cleaning, laundry and related occupations",3,0,0,0,0,3,0,0
"7201 - Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",0,0,0,0,56,18,2,0
"7202 - Contractors and supervisors, electrical trades and telecommunications occupations",3,21,16,6,0,4,11,5
"7204 - Contractors and supervisors, carpentry trades",0,0,12,0,0,0,1,0
"7205 - Contractors and supervisors, other construction trades, installers, repairers and servicers",0,1,0,0,0,4,0,2
7231 - Machinists and machining and tooling inspectors,0,0,3,0,0,3,4,3
7235 - Structural metal and platework fabricators and fitters,2,2,0,1,0,0,0,0
7237 - Welders and related machine operators,58,1,3,1,51,14,7,4
7241 - Electricians (except industrial and power system),0,2,0,0,0,0,0,8
7242 - Industrial electricians,50,21,2,11,29,34,13,4
7243 - Power system electricians,1,0,0,0,0,0,0,0
7244 - Electrical power line and cable workers,77,88,8,2,3,0,0,0
7245 - Telecommunications line and cable workers,0,0,28,0,0,0,0,0
7246 - Telecommunications installation and repair workers,2,1,1,0,0,0,0,0
7251 - Plumbers,0,0,0,0,0,0,2,0
7271 - Carpenters,2,0,0,0,1,0,1,1
